Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,TCS.NS
11-06-2021,703.9172363,614.8411865,1287.480347,1426.6875,1007.009827,2944.573242
14-06-2021,700.6494751,614.3092041,1300.738647,1438.359497,1021.456543,2946.866211
15-06-2021,705.7642822,624.1261597,1311.505493,1433.662354,1023.7771,2934.634277
16-06-2021,703.088501,619.0968018,1317.467163,1414.77832,1006.304504,2945.067871
17-06-2021,694.3270874,612.2297363,1330.547729,1411.599365,1008.1474,2984.103027
18-06-2021,700.8152466,609.7150879,1337.666138,1400.639038,1012.69751,2965.710205
21-06-2021,705.0302124,610.5371704,1334.996704,1392.146118,1017.975647,2943.943604
22-06-2021,702.7095947,610.1502075,1345.27417,1422.654541,1012.74292,2969.217285
23-06-2021,703.5146484,604.2020874,1337.532593,1403.723145,1003.460754,2933.419434
24-06-2021,713.3416748,613.2452393,1387.407104,1427.256836,979.8684082,3034.336914
25-06-2021,717.5328979,627.7046509,1400.754272,1446.046143,957.5500488,3040.812744
28-06-2021,714.3361816,628.9620361,1398.618896,1437.125854,949.1550903,3001.192627
29-06-2021,714.4313354,619.0968018,1390.833008,1433.75708,949.9741211,3004.880127
30-06-2021,712.4574585,610.1986084,1406.627197,1423.935669,960.3711548,3009.287109
01-07-2021,707.1540527,610.1502075,1388.474854,1416.106934,954.5924683,3005.464844
02-07-2021,704.1338501,619.2418213,1395.059448,1409.796387,968.7432861,2991.028809
05-07-2021,711.2921143,626.5924072,1404.981079,1430.957764,978.3668823,2987.026123
06-07-2021,729.9608765,628.9620361,1390.076416,1428.63269,966.8095703,2934.229736
07-07-2021,732.2439575,632.5406494,1392.211914,1439.023682,960.0980835,2945.607178
08-07-2021,723.1830444,620.8377075,1388.786255,1424.077881,952.1581421,2930.811523
09-07-2021,714.4075317,617.5975952,1390.699585,1423.033936,942.4208984,2885.525391
12-07-2021,707.2729492,625.0449219,1377.307617,1424.125366,948.2906494,2871.988525
13-07-2021,714.3361816,643.1314087,1374.727173,1436.319214,955.3887329,2866.996582
14-07-2021,713.0519409,642.5510864,1403.156982,1465.831299,949.1550903,2891.281738
15-07-2021,723.3019409,645.5493164,1406.627197,1527.18042,947.4943237,2887.13501
16-07-2021,724.0866699,638.6339722,1384.070313,1536.100586,961.1674194,2879.788574
19-07-2021,699.6627808,634.3783569,1371.835083,1527.417725,955.0474854,2870.594238
20-07-2021,686.4161987,620.8377075,1379.265259,1509.150635,952.7041626,2889.70459
22-07-2021,689.0560303,634.4267578,1414.991455,1558.305908,964.9440308,2899.213623
23-07-2021,686.2260132,654.4475708,1415.213867,1529.458008,958.1187744,2896.058838
26-07-2021,682.3258057,654.5441284,1427.182251,1516.030273,944.9916992,2882.267578
27-07-2021,684.7990723,655.2212524,1425.980957,1526.136597,935.0496826,2869.107178
28-07-2021,674.1210327,662.5717773,1428.694824,1529.927368,927.0187378,2882.492676
29-07-2021,674.572876,666.8884277,1438.838501,1531.654785,934.2533569,2880.690186
